_time,active_power,sun_altitude,sun_azimuth,irradiance_real,irradiance_fc
2021-01-02 00:00:00+00:00,0.7569895503569415,0.019047185719090722,0.9179863700501847,0.0,0.0
2021-01-02 00:15:00+00:00,0.7556623214225577,0.010633277946021279,0.9379574795141864,0.0,0.0
2021-01-02 00:30:00+00:00,0.7553500442930653,0.004516322673294245,0.9591340477264281,0.0,0.0
2021-01-02 00:45:00+00:00,0.747430594452481,0.0009231176469924584,0.9811930158893315,0.0,0.0
2021-01-02 01:00:00+00:00,0.7493339447952876,0.0,0.0034605182658312924,0.0,0.0
2021-01-02 01:15:00+00:00,0.7708703614128348,0.001786321875040242,0.025869140914902368,0.0,0.0
2021-01-02 01:30:00+00:00,0.7867873695137332,0.0062067918175915384,0.04769006844601014,0.0,0.0
2021-01-02 01:45:00+00:00,0.7843911253403588,0.013085944825949174,0.06851015446164761,0.0,0.0
2021-01-02 02:00:00+00:00,0.7828477473451904,0.022178680438973322,0.08805207609283379,0.0,0.0
2021-01-02 02:15:00+00:00,0.771988825726649,0.03320565071982805,0.10617983067388317,0.0,0.0
2021-01-02 02:30:00+00:00,0.7605079852608121,0.0458836873110231,0.12287515434661568,0.0,0.0
2021-01-02 02:45:00+00:00,0.7561936899272617,0.05994654129046248,0.13820199302772423,0.0,0.0
2021-01-02 03:00:00+00:00,0.7493944719943099,0.07515590195343351,0.15227238565588108,0.0,0.0
2021-01-02 03:15:00+00:00,0.7458084950326243,0.09130507471865074,0.16522013505482488,0.0,0.0
2021-01-02 03:30:00+00:00,0.7500005551847877,0.1082181210462954,0.17718331106491889,0.0,0.0
2021-01-02 03:45:00+00:00,0.7460736626007032,0.12574669985964232,0.1882940486923576,0.0,0.0
2021-01-02 04:00:00+00:00,0.7506950558976333,0.14376607106331618,0.19867346561711804,0.0,0.0
2021-01-02 04:15:00+00:00,0.7741158506842201,0.16217107883891657,0.20842979604163836,0.0,0.0
2021-01-02 04:30:00+00:00,0.789838062033793,0.18087250351431558,0.21765836239452793,0.0,0.0
2021-01-02 04:45:00+00:00,0.7823484516438651,0.19979392088778578,0.2264424890152699,0.0,0.0
2021-01-02 05:00:00+00:00,0.766154018263182,0.2188690782343371,0.2348548188759854,0.0,0.0
2021-01-02 05:15:00+00:00,0.7683267543628326,0.2380397379557589,0.2429587305323595,0.0,0.0
2021-01-02 05:30:00+00:00,0.7789167907831519,0.25725392024781646,0.2508096979954096,0.0,0.0
2021-01-02 05:45:00+00:00,0.7990884075887627,0.2764644758266854,0.25845652112665785,0.0,0.0
2021-01-02 06:00:00+00:00,0.8025757652780249,0.29562792815518524,0.2659424012068458,0.0,0.0
2021-01-02 06:15:00+00:00,0.818021264795529,0.3147035366976977,0.27330586077505614,0.0,0.0
2021-01-02 06:30:00+00:00,0.8485167119735422,0.3336525469803965,0.2805815183114003,0.0,0.0
2021-01-02 06:45:00+00:00,0.8156529243654861,0.35243761103570626,0.28780073263682254,0.0,0.0
2021-01-02 07:00:00+00:00,0.8241905173327873,0.3710223889704559,0.29499213239935285,0.0,0.0
2021-01-02 07:15:00+00:00,0.8873814042981223,0.38937139555810407,0.30218204465029164,0.0,0.0
2021-01-02 07:30:00+00:00,0.8361401338193425,0.4074502853303857,0.3093948343549841,0.0,0.0
2021-01-02 07:45:00+00:00,0.8128335076560836,0.4252271509619807,0.31665316429662077,0.0,0.0
2021-01-02 08:00:00+00:00,0.8088417140917961,0.44267678066641114,0.323978182542913,0.0,0.0
2021-01-02 08:15:00+00:00,0.8310774035809803,0.4597962657578918,0.33138964262448994,0.0,0.0
2021-01-02 08:30:00+00:00,0.8425912337834189,0.4766875025868752,0.33890595991261535,0.00032351989647363315,0.015305773829859924
2021-01-02 08:45:00+00:00,0.8326170139690616,0.4948095599518257,0.34654420648363443,0.0009705596894208995,0.015305773829859924
2021-01-02 09:00:00+00:00,0.8103740782726261,0.5100671966370648,0.3543200461090596,0.0009705596894208995,0.015305773829859924
2021-01-02 09:15:00+00:00,0.8256320152951593,0.5240438260887207,0.3622476110049772,0.0009705596894208995,0.015305773829859924
2021-01-02 09:30:00+00:00,0.832205649802939,0.5378636654595239,0.3703393227451368,0.0012940795858945326,0.08988725657669969
2021-01-02 09:45:00+00:00,0.8244389581189496,0.551229015620683,0.37860566140658597,0.002588159171789065,0.08988725657669969
2021-01-02 10:00:00+00:00,0.8541127489622125,0.563959414598676,0.3870548896514224,0.008735037204788096,0.08988725657669969
2021-01-02 10:15:00+00:00,0.805915045027806,0.5759634301386859,0.3956927420887623,0.015205435134260757,0.08988725657669969
2021-01-02 10:30:00+00:00,0.793701121094282,0.5871658925404144,0.40452209480590307,0.021999352960207056,0.17952397221273203
2021-01-02 10:45:00+00:00,0.7618363058797147,0.5975015379463124,0.4135426351078665,0.026528631510837914,0.17952397221273203
2021-01-02 11:00:00+00:00,0.7229267900105956,0.6069109120013482,0.4227505567531308,0.043028146230993214,0.17952397221273203
2021-01-02 11:15:00+00:00,0.6965697468126334,0.6153389152229763,0.4321383105399896,0.05985118084762212,0.17952397221273203
2021-01-02 11:30:00+00:00,0.6451056803249571,0.6227346064741738,0.44169444296310967,0.06308637981235847,0.24012071518050337
2021-01-02 11:45:00+00:00,0.6747654574901439,0.629051625011571,0.4514035557248682,0.046263345195729534,0.24012071518050337
2021-01-02 12:00:00+00:00,0.6622780993773116,0.6342489145876666,0.46124641514264286,0.026852151407311554,0.24012071518050337
2021-01-02 12:15:00+00:00,0.6907913117183552,0.6382915683655738,0.47120023231065833,0.029440310579100612,0.24012071518050337
